Title,ISSN,Type,SJR,Year
'Proceedings of the 33rd ITA-AITES World Tunnel Congress - Underground Space - The 4th Dimension of Metropolises',-,conference and proceedings,"0,109",2010
'Technology of Object-Oriented Languages and Systems,-,conference and proceedings,"0,231",2004
"*SEM 2017 - 6th Joint Conference on Lexical and Computational Semantics, Proceedings",-,conference and proceedings,"0,143",2020
"100th Annual Conference and Exhibition of the Air and Waste Management Association 2007, ACE 2007",-,conference and proceedings,"0,105",2010
10AIChE - 2010 AIChE Spring Meeting and 6th Global Congress on Process Safety,-,conference and proceedings,"0,115",2013
"10th ACIS Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing, SNPD 2009, In conjunction with IWEA 2009 and WEACR 2009",-,conference and proceedings,"0,135",2012
"10th ACM International Conference on Underwater Networks and Systems, WUWNet 2015",-,conference and proceedings,"0,145",2018
"10th ACM/IEEE International Conference on Formal Methods and Models for Codesign, MEMOCODE 2012",-,conference and proceedings,"0,136",2015
"10th AIAA Aviation Technology, Integration and Operations Conference 2010, ATIO 2010",-,conference and proceedings,"0,165",2013
10th AIAA Multidisciplinary Design Optimization Specialist Conference,-,conference and proceedings,"0,119",2017
10th AIAA/ASME Joint Thermophysics and Heat Transfer Conference,-,conference and proceedings,"0,164",2013
10th AIAA/NAL-NASDA-ISAS International Space Planes and Hypersonic Systems and Technologies Conference,-,conference and proceedings,"0,154",2004
10th AIChE Southwest Process Technology Conference 2018,-,conference and proceedings,"0,101",2020
"10th Americas Conference on Wind Engineering, ACWE 2005",-,conference and proceedings,"0,112",2008
10th Annual Applied Ergonomics Conference: Celebrating the Past - Shaping the Future,-,conference and proceedings,"0,100",2010
"10th Annual International Energy Conversion Engineering Conference, IECEC 2012",-,conference and proceedings,"0,112",2015
"10th Annual International Systems Conference, SysCon 2016 - Proceedings",-,conference and proceedings,"0,173",2019
"10th Australian Conference for Knowledge Management and Intelligent Decision Support 2007: Theory Wedded to Practice, ACKMIDS'07",-,conference and proceedings,"0,102",2010
"10th Canadian Workshop on Information Theory, CWIT 2007",-,conference and proceedings,"0,224",2010
"10th Cologne-Twente Workshop on Graphs and Combinatorial Optimization, CTW 2011 - Proceedings of the Conference",-,conference and proceedings,"0,135",2014
"10th Conference of Telecommunication, Media and Internet Techno-Economics, CTTE 2011",-,conference and proceedings,"0,164",2014
"10th Congress of Balkan Geophysical Society, BGS 2019",-,conference and proceedings,"0,108",2020
"10th Electronics Packaging Technology Conference, EPTC 2008",-,conference and proceedings,"0,185",2011
"10th European Conference on Information Warfare and Security 2011, ECIW 2011",-,conference and proceedings,"0,109",2014
"10th European Conference on Pattern Languages of Programs, EuroPLoP 2005 - Preliminary Conference Proceedings",-,conference and proceedings,"0,185",2008
"10th European Workshop on Microelectronics Education, EWME 2014",-,conference and proceedings,"0,105",2017
"10th FPGAworld Conference - Academic Proceedings 2013, FPGAworld 2013",-,conference and proceedings,"0,125",2016
"10th France-Japan Congress, 8th Europe-Asia Congress on Mecatronics, MECATRONICS 2014",-,conference and proceedings,"0,116",2017
"10th Global Symposium on Millimeter-Waves, GSMM 2017",-,conference and proceedings,"0,202",2020
"10th ICETE 2013; SIGMAP 2013 - 10th Int. Conf. on Signal Processing and Multimedia Applications and WINSYS 2013 - 10th Int. Conf. on Wireless Information Networks and Systems, Proc.",-,conference and proceedings,"0,104",2016
"10th IEEE Int. Conf. on Service Operations and Logistics, and Informatics, SOLI 2015 - In conjunction with ICT4ALL 2015",-,conference and proceedings,"0,122",2018
"10th IEEE International Conference on Advanced Thermal Processing of Semiconductors, RTP 2002",-,conference and proceedings,"0,101",2005
"10th IEEE International Conference on Bioinformatics and Bioengineering 2010, BIBE 2010",-,conference and proceedings,"0,181",2013
"10th IEEE International Multitopic Conference 2006, INMIC",-,conference and proceedings,"0,113",2009
"10th IFIP/IEEE International Symposium on Integrated Network Management 2007, IM '07",-,conference and proceedings,"0,193",2010
10th IMEKO TC10 International Conference on Technical Diagnostics,-,conference and proceedings,"0,101",2008
10th IMEKO TC15 Youth Symposium on Experimental Solid Mechanics 2011,-,conference and proceedings,"0,102",2014
10th IMEKO TC7 Symposium on Advances of Measurement Science 2004,-,conference and proceedings,"0,116",2007
"10th ITU Academic Conference Kaleidoscope: Machine Learning for a 5G Future, ITU K 2018",-,conference and proceedings,"0,368",2020
"10th Int. Conference on Bioinformatics - 1st ISCB Asia Joint Conference 2011, InCoB 2011/ISCB-Asia 2011: Computational Biology - Proceedings from Asia Pacific Bioinformatics Network (APBioNet)",-,conference and proceedings,"1,176",2014
"10th Int. Workshop on Harbor, Maritime and Multimodal Logistics Modeling and Simulation, HMS 2008, Held at the International Mediterranean and Latin American Modeling Multiconference, I3M 2008",-,conference and proceedings,"0,131",2011
"10th International Conference - 2016 Electric Power Quality and Supply Reliability, PQ 2016, Proceedings",-,conference and proceedings,"0,184",2019
10th International Conference - Fire and Materials 2007,-,conference and proceedings,"0,124",2010
"10th International Conference Modern Building Materials, Structures and Techniques",-,conference and proceedings,"0,145",2013
"10th International Conference of the Learning Sciences: The Future of Learning, ICLS 2012 - Proceedings",-,conference and proceedings,"0,145",2015
10th International Conference of the Slovenian Society for Non-Destructive Testing: Application of Contemporary Non-Destructive Testing in Engineering,-,conference and proceedings,"0,105",2012
"10th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2019",-,conference and proceedings,"0,101",2020
"10th International Conference on Autonomous Agents and Multiagent Systems 2011, AAMAS 2011",-,conference and proceedings,"0,312",2014
"10th International Conference on Bioinformatics - 1st ISCB Asia Joint Conference 2011, InCoB 2011/ISCB-Asia 2011: Bioinformatics - Proceedings from Asia Pacific Bioinformatics Network (APBioNet)",-,conference and proceedings,"0,118",2014
"10th International Conference on Communications, Circuits and Systems, ICCCAS 2018",-,conference and proceedings,"0,121",2020
"10th International Conference on Computer Science and Education, ICCSE 2015",-,conference and proceedings,"0,123",2018
"10th International Conference on Condition Monitoring and Machinery Failure Prevention Technologies 2013, CM 2013 and MFPT 2013",-,conference and proceedings,"0,119",2016
"10th International Conference on Design and Decision Support Systems, DDSS 2010",-,conference and proceedings,"0,104",2013
"10th International Conference on Environmental Engineering, ICEE 2017",-,conference and proceedings,"0,127",2020
"10th International Conference on Environmental Pollution and Public Health, EPPH 2018",-,conference and proceedings,"0,119",2020
"10th International Conference on Geosynthetics, ICG 2014",-,conference and proceedings,"0,147",2017
10th International Conference on Healthy Buildings 2012,-,conference and proceedings,"0,117",2015
"10th International Conference on Information Sciences, Signal Processing and their Applications, ISSPA 2010",-,conference and proceedings,"0,144",2013
"10th International Conference on Information and Communication Technology for Embedded Systems, IC-ICTES 2019 - Proceedings",-,conference and proceedings,"0,174",2020
"10th International Conference on Information, Intelligence, Systems and Applications, IISA 2019",-,conference and proceedings,"0,147",2020
"10th International Conference on Integrated Modeling and Analysis in Applied Control and Automation, IMAACA 2017, Held at the International Multidisciplinary Modeling and Simulation Multiconference, ",-,conference and proceedings,"0,102",2020
"10th International Conference on Intelligent Games and Simulation, GAME-ON 2009",-,conference and proceedings,"0,115",2012
"10th International Conference on Lead-Acid Batteries, LABAT 2017 - Proceedings",-,conference and proceedings,"0,100",2020
"10th International Conference on Liquid Atomization and Spray Systems, ICLASS 2006",-,conference and proceedings,"0,141",2009
"10th International Conference on Microreaction Technology, IMRET 2008 - Topical Conference at the 2008 AIChE Spring National Meeting",-,conference and proceedings,"0,100",2011
"10th International Conference on Modeling and Applied Simulation, MAS 2011, Held at the International Mediterranean and Latin American Modeling Multiconference, I3M 2011",-,conference and proceedings,"0,101",2014
"10th International Conference on Modelling, Identification and Control, ICMIC 2018",-,conference and proceedings,"0,119",2020
"10th International Conference on Numerical Simulation of Optoelectronic Devices, NUSOD 2010",-,conference and proceedings,"0,124",2013
"10th International Conference on Optical Internet, COIN 2012",-,conference and proceedings,"0,118",2015
"10th International Conference on Probabilistic Safety Assessment and Management 2010, PSAM 2010",-,conference and proceedings,"0,120",2013
