title,true_path,predicted_path,correct,true_in_retrieved,model_score,retrieval_score,combined_score,retrieval_time,reranking_time
a parallel matrix-based method for computing appro,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Natural Science > Computer and Information Science > Data Science and Analytics > Big Data Analytics > MapReduce,False,False,0.055124375969171524,0.5064869523048401,0.23566940650343898,0.03499197959899902,0.9103281497955322
application advances of deep learning methods for ,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Natural Science > Biological Science > Bioinformatics and Computational Biology > Structural Bioinformatics > Drug Design,False,False,0.029534736648201942,0.5157456398010254,0.22401909790933133,0.03208804130554199,1.0447895526885986
commentary: let s re-create bell labs!,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Humanity and Art > History and Archaeology > Specialized History > History of Science and Technology > History of Computing,False,False,0.0899219736456871,0.41577136516571045,0.22026173025369647,0.04172563552856445,1.5229840278625488
species-specific pcr to describe local-scale distr,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Natural Science > Biological Science > Evolutionary Biology > Speciation,False,False,0.20286665856838226,0.32441747188568115,0.25148698389530183,0.03064274787902832,0.9157953262329102
a cultural perspective of health and wellness tour,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Medical and Health Science > Health Science > Public Health > Health Promotion > Wellness Program,False,False,0.10803306847810745,0.45735299587249756,0.24776103943586347,0.026818275451660156,0.8161253929138184
is scientific research part of prewriting in the s,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Humanity and Art > Philosophy Ethics and Religion > Philosophy > Philosophy of Science > Scientific Method,False,False,0.1448066532611847,0.4201000928878784,0.2549240291118622,0.02147388458251953,0.6243114471435547
artificial intelligence for chemical risk assessme,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Natural Science > Computer and Information Science > Data Science and Analytics > Predictive Analytics > Risk Analysis,False,False,0.026895590126514435,0.5199909210205078,0.22413372248411179,0.038236379623413086,0.808760404586792
carbon nanomaterials: biologically active fulleren,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Engineering and Technology > Nanotechnology > Nanomaterial > Carbon Nanotube,False,False,0.11259419471025467,0.4992421269416809,0.26725336760282514,0.02431511878967285,0.7785201072692871
no scholar is an island: the impact of sharing in ,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Interdisciplinary Field > Digital Humanity > Digital Archive,False,False,0.08722259104251862,0.4490928649902344,0.23197070062160494,0.01932358741760254,0.5999808311462402
herschel space observatory,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Natural Science > Physical Science > Astronomy and Astrophysics > Observational Astronomy > Infrared Astronomy,False,False,0.1464427411556244,0.47598689794540405,0.2782604038715363,0.020102500915527344,0.6334810256958008
a radical change in our autism research strategy i,Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Interdisciplinary Field > Precision Medicine > Targeted Therapy,False,False,0.1876102089881897,0.26627683639526367,0.21907685995101928,0.023612260818481445,0.9185190200805664
"folklore, animal self-medication, and phytotherapy",Natural Science > Physical Science > Physics > Theoretical Physics > Statistical Mechanics,Medical and Health Science > Health Science > Veterinary Medicine > Large Animal Medicine,False,False,0.36254170536994934,0.4443264603614807,0.3952556073665619,0.02486729621887207,0.8927276134490967
